price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed,vehicle_age
9400,2011,bmw x5,good,6.0,gas,145000.0,automatic,SUV,,1,2018-06-23,19,8
5500,2013,hyundai sonata,like new,4.0,gas,110000.0,automatic,sedan,red,0,2019-02-07,79,7
14900,2017,chrysler 200,excellent,4.0,gas,80903.0,automatic,sedan,black,0,2019-04-02,28,3
14990,2014,chrysler 300,excellent,6.0,gas,57954.0,automatic,sedan,black,1,2018-06-20,15,5
12990,2015,toyota camry,excellent,4.0,gas,79212.0,automatic,sedan,white,0,2018-12-27,73,4
15990,2013,honda pilot,excellent,6.0,gas,109473.0,automatic,SUV,black,1,2019-01-07,68,7
11500,2012,kia sorento,excellent,4.0,gas,104174.0,automatic,SUV,,1,2018-07-16,19,7
9200,2008,honda pilot,excellent,,gas,147191.0,automatic,SUV,blue,1,2019-02-15,17,12
19500,2011,chevrolet silverado 1500,excellent,8.0,gas,128413.0,automatic,pickup,black,1,2018-09-17,38,8
8990,2012,honda accord,excellent,4.0,gas,111142.0,automatic,sedan,grey,0,2019-03-28,29,8
18990,2012,ram 1500,excellent,8.0,gas,140742.0,automatic,pickup,,1,2019-04-02,37,8
16500,2018,hyundai sonata,excellent,4.0,gas,22104.0,automatic,sedan,silver,0,2019-01-14,29,2
12990,2009,gmc yukon,excellent,8.0,gas,132285.0,automatic,SUV,black,1,2019-01-31,24,11
14990,2010,ram 1500,excellent,8.0,gas,130725.0,automatic,pickup,red,1,2018-12-30,13,9
13990,2014,jeep cherokee,excellent,6.0,gas,100669.0,automatic,SUV,red,1,2018-08-16,25,5
12500,2013,chevrolet traverse,excellent,6.0,gas,128325.0,automatic,SUV,white,1,2019-04-09,13,7
13990,2018,hyundai elantra,excellent,4.0,gas,31932.0,automatic,sedan,red,0,2018-08-25,27,1
5250,2007,toyota rav4,good,6.0,gas,154000.0,automatic,SUV,,0,2018-08-22,8,12
7500,2004,chevrolet silverado,like new,8.0,gas,180000.0,automatic,truck,red,1,2019-01-05,64,16
8499,2014,ford fusion se,like new,4.0,gas,79523.0,automatic,sedan,red,0,2018-10-25,23,5
12999,2015,chevrolet impala,like new,6.0,gas,39368.0,automatic,sedan,custom,0,2018-05-19,42,4
29800,2012,chevrolet corvette,excellent,8.0,gas,57413.0,automatic,coupe,orange,0,2018-10-22,101,7
5000,2009,jeep liberty,good,6.0,gas,137273.0,automatic,SUV,white,1,2019-02-19,14,11
11999,2017,toyota camry le,excellent,4.0,gas,35721.0,automatic,sedan,,0,2018-09-13,25,2
9499,2015,nissan altima,like new,4.0,gas,51848.0,automatic,sedan,grey,0,2018-11-12,7,4
9500,2008,toyota highlander,good,6.0,gas,149799.0,automatic,SUV,,0,2018-06-04,121,11
14999,2015,dodge charger,good,6.0,gas,63037.0,automatic,sedan,,0,2018-05-11,37,4
10499,2013,chrysler 300,good,,gas,88042.0,automatic,sedan,,0,2018-05-05,22,6
7500,2005,toyota tacoma,good,,gas,160000.0,automatic,pickup,,0,2018-07-22,44,14
8000,2009,ford f-150,good,8.0,gas,234000.0,automatic,truck,black,1,2019-03-31,1,11
11499,2017,chevrolet equinox,like new,4.0,gas,54772.0,automatic,SUV,grey,1,2019-01-12,36,3
5100,2008,honda cr-v,excellent,4.0,gas,188000.0,automatic,SUV,red,1,2018-11-18,10,11
4500,2004,jeep grand cherokee,good,6.0,gas,168821.0,automatic,SUV,,1,2019-01-31,60,16
2400,2001,toyota camry,good,4.0,gas,277564.0,automatic,coupe,yellow,0,2018-05-27,51,18
11200,2015,dodge charger,excellent,6.0,gas,90302.0,automatic,sedan,black,1,2018-07-19,73,4
12500,2008,toyota 4runner,good,6.0,gas,141098.0,automatic,SUV,grey,0,2019-03-10,35,12
9500,2014,ford focus,excellent,4.0,diesel,46000.0,automatic,sedan,,0,2018-10-09,24,5
3200,2006,honda civic,excellent,4.0,gas,255390.0,automatic,sedan,blue,0,2018-10-18,23,13
6200,2006,ford f-150,excellent,6.0,gas,69698.0,automatic,truck,custom,0,2018-05-03,50,13
3800,2012,ford focus,good,4.0,gas,130323.0,automatic,sedan,black,0,2018-11-29,261,7
3300,2011,kia soul,good,4.0,gas,188963.0,manual,SUV,black,0,2019-02-16,71,9
10400,2012,chevrolet colorado,excellent,5.0,gas,111871.0,automatic,truck,red,1,2019-01-30,27,8
30300,2017,ford f150 supercrew cab xlt,good,6.0,gas,30339.0,automatic,pickup,brown,1,2018-07-15,14,2
